content,labels
நீட் தேர்வுக்கு விலக்கு அளிக்கப்படும் என காங்கிரஸ் வாக்குறுதி அளித்துள்ளது தேர்தல் நாடகம் என சீமான் விமர்சனம்.. take 1 tamil <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Opinionated
மோடி வருவாரு ஓடிப் போயிருவாரு <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Sarcastic
இந்த ரூ.1000 அதுவும் தேர்தல் நேரத்தில்..பெண்களுக்கு சுருக்குனு சொன்ன கருத்து <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Opinionated
முதல்ல படையல் போட்டு காரியம் செஞ்சானுக .... இப்போ செருப்பு மாலை மரியாதை.... எங்கடா போனீங்க …மானங்கெட்ட உ.பிஸ்<rolling on the floor laughing emoji/><rolling on the floor laughing emoji/> <sweat droplets emoji/><sweat droplets emoji/><sweat droplets emoji/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Positive
<hashtag/> தேர்தல் பிரச்சாரங்கள் நடக்கும் இடமெல்லாம் மக்கள் பேராதரவின் காரணமாக மாநாடு போல கூட்டங்கள் நிறைந்து வழிகின்றது. மக்கள் நல திட்டங்கள் செய்து இருந்தால் இதே கூட்டம் மத்தவங்களுக்கும் வரும். <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Sarcastic
அன்பை வெளிப்படுத்திய தம்பிகள் மகிழ்ச்சி வெள்ளத்தில் மிதந்த அண்ணன் செந்தமிழன் சீமான் <red heart emoji/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Negative
"அப்பா திருடன் மகன் திருடன்... குட்டிக்கதை சொன்ன சீமான், குலுங்கி சிரித்த கூட்டம் ! <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>",Neutral
இன்றைய துண்டறிக்கை பரப்புரை &amp; காணொளி பரப்புரை... கொத்தூர் ஊராட்சி &amp; பச்சூர்... ஜோலார்பேட்டை தொகுதி.. <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Sarcastic
"தவறான மின்சார கட்டண கொள்ளையால்,சிறு குறு தொழில்கள் முடங்கும் அபாயம்.. 5000 கோடி அளவுக்கு finance loss இருக்கும்..3 கோடி வேலை இழப்பும் நடக்கப்போகுது 50 ஆண்டுகால திராவிட ஆட்சி இதுவே சாட்சி அவலங்கள் தொடர் கதை<red heart emoji/><black heart emoji/> <hashtag/> <hashtag/> <hashtag/>",Substantiated
பக்கோடா போடுங்க-னு சொன்னவங்க அவங்க... திமுக வேட்பாளர் கனிமொழி..! <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Neutral
<hashtag/> பொதுமக்கள் விரட்டியடிப்பு <hashtag/> நமது சின்னம் <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Neutral
sankar ganesh என்ன அது,None of the above
"200 , 500 , கோட்டர் , பிரியாணி கொடுத்து கூட்டம் கூட்டும் , 1000,2000 கொடுத்து வாக்கை விலைக்கு வாங்கும் திமுகவை செருப்பாலயே அடிச்சிருக்கான்…. <hashtag/> <hashtag/>",Opinionated
<hashtag/> முதியோர்கள் என்ன பாவம் செய்ஞ்சாங்க?... <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Neutral
மறைமுக கூட்டணி பேச்சுவார்த்தை? <man shrugging emoji/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Opinionated
கோவை மக்களின் நம்பிக்கை பெற்ற ஒரே மண்ணின் மைந்தன் திமுக வெற்றி வேட்பாளர் கணபதி ராஜ்குமார் <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Substantiated
"நாங்க நாலு பேரு, எங்களுக்கு பயம் நா என்னன்னு தெரியாது.jpg",Negative
இந்தியாவின் நம்பிக்கை நாயகன் ராகுலை வரவேற்கிறேன்; ராகுல் அவர்களே வருக... புதிய இந்தியாவிற்கு விடியல் தருக... கோவையில் முதல்வர் மு.க.ஸ்டாலின்‌ பேச்சு. <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Sarcastic
திருநெல்வேலி பாராளுமன்ற தொகுதி வேட்பாளர் அக்கா பா.சத்யா அவர்களுக்கு. <hashtag/> சின்னத்தில் வாக்களித்து வெற்றிபெற செய்ய வேண்டும். <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Sarcastic
எனக்கு என்னமோ உன் மேல தான் சந்தேகமா இருக்கு! <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Sarcastic
மக்களை கவரும் கோவை கலாமணி பரப்புரை! <hashtag/> <hashtag/> <hashtag/> <hashtag/> - தமிழ் முரசு - கொட்டும் முரசு,Opinionated
வாக்கு என்பது வலிமைமிக்க ஆயுதம் அதை சில ரொட்டி துண்டுகளுக்காக விற்பது அவமானகரமானது..!! ~ அம்பேத்கர் <hashtag/> <hashtag/>,Positive
மயிலாடுதுறை மாற்றம் காண மக்கள் வேட்பாளர் ஆர்.சுதா அவர்களின் மகத்தான வாக்குறுதி… <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Opinionated
நாம் தமிழர் மைக் சின்னம் வாக்கு பெட்டியில் சரியாக தெரியும் வண்ணம் அச்சிடவில்லையா..? தேர்தல் அதிகாரி ராதாகிருஷ்ணன் பதில் <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Opinionated
சகோதரர் ராகுல் சொன்னாரே... “நம்ம காப்பாத்துன இந்தியாவை சிதைக்க பார்க்கிறார்” முதல்வர் மு.க. ஸ்டாலின்! <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Sarcastic
300 நச் பாயிண்ட்,None of the above
<kyrgyzstan emoji/><studio microphone emoji/> <hashtag/> மக்கள் - ஒலிவாங்கி ( மைக் ) சின்னத்தில் வாக்களிப்போம் நாளைய தலைமுறைக்கு வாழ்வளிப்போம் <studio microphone emoji/><kyrgyzstan emoji/> <kyrgyzstan emoji/><studio microphone emoji/>இன்னும் 05 ஏ நாளில் கையில் மை - மைக் சின்னத்தில் நம்முடைய கை - அடுத்த தலைமுறையினருக்கான வாழ்வியல் <studio microphone emoji/><kyrgyzstan emoji/> <hashtag/> <hashtag/> <studio microphone emoji/><studio microphone emoji/><studio microphone emoji/><studio microphone emoji/><studio microphone emoji/>,Neutral
"6 மாதம் சிறை உறுதி.. நானும், மம்தாவும் மட்டுமே.. - சீமான் பேச பேச பறந்த விசில் <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>",Opinionated
"இதுவரைக்கும் என்ன செஞ்ச? ஒன்னும் செய்யல, அதேதான் இனியும்<rolling on the floor laughing emoji/><rolling on the floor laughing emoji/><rolling on the floor laughing emoji/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>",Sarcastic
கரும்பு விவசாயிகளுடன் கலந்துரையாடல் நிகழ்ச்சியின் நிகழ்வு... <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Positive
வெல்வோம் <fire emoji/><collision emoji/><collision emoji/>,Positive
கவலைகள் மறந்து சிரிக்கtmp prank paarunkaenjoy pannunka,None of the above
விருதுநகர் பாராளுமன்ற தொகுதிக்கு உட்பட்ட சாத்தூர் 1 பகுதியில் இன்றைய வாகன பரப்புரைக்கு கிளம்பியாச்சு.... <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Sarcastic
<hashtag/> தென் சென்னையில் முந்துவது யார் ? <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Substantiated
"எத்தனை பொய்களைத்தான் நாடு தாங்கும், எங்கள் காதுகள் பாவம் இல்லையா - முதல்வர் ஸ்டாலின் தமிழ்நாட்டிற்கு 10.76 லட்சம் கோடி கொடுத்ததாக மத்திய அரசு கூறுவது பொய் கணக்கு - ஸ்டாலின் ஒட்டு மொத்த தமிழ் மக்கள் காதிலும் பூ சுற்ற நினைக்கிறது பாஜக அரசு - முதல்வர் மு க ஸ்டாலின் <hashtag/> <hashtag/>",Negative
சீமானை வீழ்த்த நடக்கும் சதி! திமுக கூலிப்படையினரின் கோழைத்தனம் : இடும்பாவனம் கார்த்திக் காணொளி: <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Negative
என்ன பண்ண முடியும்,None of the above
சீமான் வழியில் அண்ணாமலையும் அதையே பண்ண பாக்குறார்! - muthalif interview seeman ntk முழு பேட்டி<play button emoji/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Positive
புதியதோர் தேசம் செய்வோம் மக்கள் புரட்சியால் அதை உறுதி செய்வோம் நமது சின்னம் <hashtag/> (மைக்) <hashtag/> <hashtag/> <hashtag/>,Neutral
விழுப்புரத்தில் முதல்-அமைச்சர் இன்று பிரசாரம்...! <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Positive
சென்னைக்கு உண்டான குடிநீர் சென்னையில் இருந்தே எடுக்கப்படும்! - மருத்துவர் இரா. கார்த்திகேயன் மத்திய சென்னை தொகுதி வெற்றி வேட்பாளர் <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Positive
மேகேதாட்டு விவகாரம் 3 நாட்களாக முதல்வர் ஸ்டாலின் மவுனம் ஏன்? - அன்புமணி கேள்வி <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Substantiated
எதுகை மோனையில் பாட்டுப்பாடிய சீமான்.. வீடியோ எடுத்து வைப் செய்த பொதுமக்கள்…. <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Sarcastic
உழைப்புச் சுரண்டலின் நவீன அடையாளம் சுங்கச் சாவடி ... சுங்கச்சாவடி அற்ற சாலைகளே நமது இலக்கு...,Opinionated
“கொள்கையும் கிடையாது.. கோட்பாடும் கிடையாது.. பேரு மட்டும் இந்தியா கூட்டணியாம்!” சீமான் தாக்கு <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Positive
தூத்துக்குடி மக்களவைத் தொகுதி - ஓர் அறிமுகம் <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Sarcastic
"விடியலாற் சொன்ன வளர்ச்சி <hashtag/> , புதிய சரக்கு <hashtag/> <hashtag/> <hashtag/> <hashtag/>",Opinionated
தம்பி அண்ணாமலை என்னுடைய ஸ்லீப்பர் செல் <hashtag/> <hashtag/> <hashtag/>,Neutral
<hashtag/> மீனவ மக்கள் எல்லாம் கடலில் கருப்புக்கொடி ஏந்தி போராட்டம் பண்ணிட்டு இருக்காங்க அந்தபக்கம் போய்டாதீங்க... <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Opinionated
அண்ணாமலைக்கு ஸ்பெஷல் ராகி இட்லி.. நான் டயட்டில் ரொம்ப strict.. <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Sarcastic
"பாஜகவிற்கு வடக்கில் நடக்கும் சோதனை,அமித்ஷா மோடி தமிழக வருகை கேள்விக்குறிதான்? full video<red circle emoji/>watch now : <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>",Opinionated
"அதிமுக பொதுச்செயலாளர் , அகில இந்திய பார்வர்ட் பிளாக் கட்சியின் பொதுச்செயலாளர் சந்திப்பு <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>",Neutral
கச்சத்தீவை பற்றி பேசுவது தான் தேர்தல் அரசியல். <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Sarcastic
கடலூர் பாமக வேட்பாளர் அழைப்பு ஒரே மேடையில் அனைத்து வேட்பாளர் விவாதம் நீங்கள் ரெடியா காங்கிரஸ் அழகிரி mp அருள்மொழி தேவன் அதிமுக mp கொலையாளி திமுக mp ரமேஷ் என்ன செய்தார்கள் என்று சொல்லுங்க?? <hashtag/> <hashtag/> <hashtag/>,Opinionated
திராவிடர்களின் கதறல்<rolling on the floor laughing emoji/><rolling on the floor laughing emoji/> அண்ணன் சீமானை நினைத்து அமைச்சர் கதறல்..<grinning face emoji/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Negative
"இதுபோல், உங்கள் தொகுதிக்கு ஏற்றாற்போல் வடிவமைப்பு செய்து பரப்புங்கள் உறவே... <hashtag/> <hashtag/>",Neutral
வன்னியர்க்கு மட்டுமல்ல சமூகநீதிக்கே முழுமுதல் எதிரி...<hashtag/> ஆரணி பாராளுமன்ற தொகுதி வன்னியர்கள் மட்டுமல்ல அனைத்து வன்னியர்களும் கட்டாயம் காண வேண்டிய காணொளி! <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> pass it on <repeat button emoji/>,Negative
அண்ணாமலைக்கு ஈபிஎஸ் பதிலடி ஜூன் 4 ஆம் தேதி தெரியும் யார் அழிந்து போவார்கள் என்று - ஈபிஎஸ் <hashtag/> <hashtag/> <hashtag/>,Opinionated
இந்தியா கூட்டணியின் தேர்தல் வாக்குறுதிகள்! விவசாய இடுபொருட்களுக்கு ஜி.எஸ்.டி. வரி கிடையாது! ஏழைப் பெண்களுக்கு ஆண்டுக்கு ஒரு இலட்சம் ரூபாய் வழங்கப்படும்! ஒன்றிய அரசுப் பணிகளில் பெண்களுக்கு 50 விழுக்காடு இடஒதுக்கீடு வழங்கப்படும்! விவசாயத்திற்குக் குறைந்தபட்ச ஆதார விலைக்குச் சட்ட அங்கீகாரம் தரப்படும்! - கழகத் தலைவர் மாண்புமிகு முதலமைச்சர் திரு அவர்கள். <hashtag/>,Positive
தமிழ்நாட்டில் இஸ்லாமியரை தீவிரவாதிகளாக உருவாக்கப்படுத்தியது கருணாநிதி எனும் பெரும் மகான் சொன்னவர் பேராசிரியர் - மாமாஆனவர் அணி இசுலாமிய மக்களை அடிமைகளாக வைத்திருக்கும் <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Positive
<hashtag/> மின்னணு வாக்குப்பதிவு இயந்திரத்தை ஹேக் செய்ய முடியும் - சீமான் <hashtag/> <hashtag/> <hashtag/>,Opinionated
புதிய அரசியல் மாற்றத்திற்காக மக்களின் ஆதரவு சீமானுக்கே..<purple heart emoji/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Sarcastic
திருவரங்கம் மேற்கு தொகுதி சார்பாக 2024 பாராளுமன்றத் தேர்தலுக்கான வாகனப் பரப்புரை &amp; துண்டறிக்கை வழங்குதல் இன்று காலை முதல் இரவு வரை அந்தநல்லூர் ஒன்றிய பகுதிகளில் மிகச் சிறப்பாக நடைபெற்றது. <hashtag/> <hashtag/>,Sarcastic
ஸ்டெர்லைட்ல சுடு பட்டு செத்த மாறி சாவனும்னா முதல் ரெண்டுக்கு ஓட்டு போடுங்க.. இலங்கைல செத்த மாறி சாவனும்னா 3க்கு ஓட்டு போடுங்க நிம்மதியா உயிர் வாழனும்னா 6வது இடத்துல இருக்க மைக்குக்கு ஓட்டு போடுங்க,Positive
இப்படி எதையும் எதிர்பாராமல் உழைக்கும் இளைஞர்கள் நாம் தமிழர் கட்சியில் மட்டுமே உண்டு <flexed biceps emoji/><flexed biceps emoji/><flexed biceps emoji/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Opinionated
கக்க போ தமிழ் பேச தெரியாதவர் தமிழ்நாட்டின் முதல்வர்,Negative
கனிமொழிக்கு எதிராக வலுவான வேட்பாரை ஏன் எதிர்கட்சிகள் நிறுத்தவில்லை? ksr ksrvoice <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Opinionated
எங்களை காப்பாற்ற என்ன வழி? <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Neutral
நல்ல பொழுதையெல்லாம் தூங்கிக்கெடுத்தவர்கள் நாட்டைக் கெடுத்ததுடன் தானும்கெட்டார்!<sleeping face emoji/> <hashtag/>,Substantiated
1000 ரூபா உங்கப்பன் வீட்டு காசாடா ? 1000 த்துக்கு பொறந்தவனுங்களா .. <hashtag/>,Sarcastic
கோவை : india கூட்டணி வேட்பாளர்களை ஆதரித்து ராகுல் காந்தி - மு.க.ஸ்டாலின் பிரசாரம்! <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Neutral
<red circle emoji/>live : சேலம் மாவட்டத்தில் அதிமுக கொடியேற்றி பொதுச்செயலாளர் எடப்பாடி பழனிசாமி உரை admk eps <hashtag/> <hashtag/> <hashtag/> <hashtag/> watch link:,Positive
பாட்டு 2 சீக்கிரம் போடுங்க,None of the above
<hashtag/> <studio microphone emoji/> <hashtag/> <studio microphone emoji/> திருப்பெரும்புதூர் மக்களவை தொகுதி நாம்தமிழர் வெற்றி வேட்பாளர் மருத்துவர் வே இரவிச்சந்திரன் வரிசை எண் 13 நமது சின்னம் மைக் <studio microphone emoji/>,Sarcastic
இது தான் கேரளாவில் பிஜேபியின் நிலை... <hashtag/> <hashtag/> <hashtag/>,Negative
மேடையில் திடீரென ஆக்ரோஷமாக கத்திய சீமான்.. சிரிப்பை அடக்க முடியாமல் திணறிய வேட்பாளர் <hashtag/> <hashtag/>,Opinionated
இந்த நாயி பேச்சை கேட்க ஒரு மானம் கெட்ட உபி யும் இல்லை <hashtag/> டிராவிட் சன்ஸ்,Sarcastic
மத்திய சென்னையில் மக்கள் ஆதரவு யாருக்கு ? - மக்கள் பரபரப்பு கருத்து central chennai dmk bjp <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Positive
2011 வரலாறு மீண்டும் திரும்பும்.. இது ராசியான கூட்டணி..மூன்று தெய்வங்களின் ஆசி உண்டு <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> link:,Sarcastic
நாம் தமிழர் கட்சி சார்பாக ஒலிவாங்கி (மைக்) சின்னத்தில் போட்டியிடும் பெரம்பலூர் நாடாளுமன்றத் தொகுதி வெற்றி வேட்பாளர் பேராசிரியர் தேன்மொழி அவர்களை ஆதரித்து 13.04.2024 இன்று தலைமை ஒருங்கிணைப்பாளர் செந்தமிழன் சீமான் அவர்கள் தலைமையில் மணச்சநல்லூரில் வாக்கு சேகரித்து தேர்தல் பரப்புரை நடைபெற்றது. <hashtag/> <hashtag/> <hashtag/>,Substantiated
பங்காளிகளைப் புறகணிப்போம்.. மோடி அண்ணாமலை கரங்களை வலுபடுத்துவோம்.. <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Substantiated
வாக்குஇயந்திரத்தில்வரிசைஎண் 5 ல் <hashtag/> பாராளுமன்ற வேட்பாளர் மருத்துவர் <hashtag/> அவர்களுக்கு <hashtag/> <hashtag/> சின்னத்தில் வாக்களிப்போம் <fire emoji/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Opinionated
உதயநிதியை முதல்வராக்க நினைக்கிறார் ஸ்டாலின்.. கருணாநிதி என்ன மன்னர் பரம்பரையா?: எடப்பாடி பழனிசாமி <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Opinionated
50 வருடமாக ஓட்டு போட்டு ஒன்னும் சாதிக்கவில்லை..! - seeman <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Positive
7 தனித் தொகுதிகளை தாண்டி மேலும் 2 பொது தொகுதிகளில் ஆதிதமிழர்களுக்கு வாய்ப்பு கொடுத்து ஜாதி பார்த்து ஓட்டு போடும் கட்டமைப்பை உடைத்து இருக்கார் அண்ணன் சீமான்<red heart emoji/> 1. திருவள்ளூர் 2. காஞ்சிபுரம் 3. விழுப்புரம் 4. நீலகிரி 5. சிதம்பரம் 6. நாகப்பட்டினம் 7. தென்காசி <hashtag/>,Substantiated
முடியட்டும் <hashtag/> மலரட்டும் <hashtag/> ஆட்சி!! <fire emoji/><hundred points emoji/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Neutral
<hashtag/> -வையும் அதற்கு துணையாக இருக்கும் <hashtag/> <hashtag/> இந்த தேர்தலில் விரட்டு அடிப்போம். பாட்டி உபயம் <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Opinionated
"தமிழ்நாட்டில் திமுக மற்றும் அதிமுக பிரச்சாரங்களைப் பார்க்கும்போது அதிமுக எதில் பின்தங்கி இருக்கிறது என்பது தெளிவாகத் தெரிகிறது. கட்சிக்காரர்கள் அவரவர் கட்சிகளுக்கு வாக்களிக்க போகிறார்கள். கட்சியில் இல்லாத பொது மக்களின் வாக்குகளுக்காகத்தான் பிரச்சாரம். அவர்களை தங்களுக்கு வாக்களிக்க வைக்க வேண்டும். அவர்களிடம் எங்களுக்கு ஏன் ஓட்டு போட வேண்டும் என்று பிரச்சாரம் செய்வதற்கான கொள்கைகள் எதுவுமே அதிமுகவிடம் இல்லை. முன் காலத்திலும் அப்படித்தான் இருந்தது. ஆனால் அப்போது தமிழ்நாட்டு மக்களிடம் பிரச்சாரம் செய்வதற்கு கவர்ச்சியான முகங்கள் அவர்களிடம் இருந்தன. இப்போது அவர்களிடம் அப்படி தமிழ்நாடு முழுவதும் சென்று, எங்களுக்கு வாக்கு அளியுங்கள் என்று கேட்கும் முகம் இல்லை. திமுக பக்கம் பார்த்தால், கட்சி சாராத பொதுமக்களின் வாக்குகளை, தங்களின் கொள்கைகளைச் சொல்லி வாக்கு கேட்க மு க ஸ்டாலின்,உதயநிதி, கமல்ஹாசன் மற்றும் திருமாவளவன் ஆகியோர் உள்ளார்கள். உதயநிதி அவர்கள் பொதுமக்களிடம் எளிதாக கனெக்ட் ஆகிறார். கூடும் கூட்டத்தை எங்கேஜ் செய்கிறார். கட்சி சாரா பொது மக்களின் வாக்குகள் என்பது ஒரு முக்கிய சதவிகிதம். அதுதான் வெற்றி தோல்வியை நிர்ணயிப்பது. அங்கே தான் திமுக இந்த தேர்தலில் முந்திக்கொண்டு இருக்கிறது.",Substantiated
உரக்கச் சொல் உன் உண்மையே கேட்குரவன் காதில் நன்கு விழும்படி கத்திச் சொல் உன் கதரல்களை உன் பேச்சிக்கு செவி சாய்த்து கேட்பவனுக்கு மட்டுமே புரியும்,None of the above
234 தொகுதியிலும் போட்டியிடும் ஒரே கட்சி தமிழ்நாட்டில் நாதக மட்டும்தான்...மற்றவர்களுக்கு பயம்! - சீமான் அனல்! click link: <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Opinionated
குரங்குகளைப்போல் கிளைக்கு கிளை தாவும் வேட்பாளர்கள்..பிரச்சாரத்தில் சீமான் சாடல் seeman ntk <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Sarcastic
வித்தியாசமான வாக்கு சேகரிப்பு <collision emoji/><collision emoji/> <studio microphone emoji/>நமது சின்னம் ஒலிவாங்கி<studio microphone emoji/> <hashtag/> <hashtag/>,Substantiated
உங்களுடைய ஆதரவுக்கு நன்றி அண்ணா <hashtag/> <hashtag/>,Sarcastic
இன்று இரவு 8 மணிக்கு தொலைக்காட்சியில் நேரலை <hashtag/> <hashtag/> <hashtag/>,Substantiated
தெரியாமல் செய்தால் தவறு...தெரிஞ்சே செய்தால் திமிரு பூனை கதை சொன்ன சீமான்! <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/> <hashtag/>,Opinionated
கோவை மக்களின் சம்பவம் <collision emoji/> முழு காணொளி:,None of the above
சித்திரைத்திருநாள்! தமிழ் புத்தாண்டு வாழ்த்து எங்கடா?,Sarcastic
